case_number,court,date,case_type,case_name,result,summary,reasoning,keywords
2023가합10001,서울중앙지방법원,2023-03-15,민사,손해배상(기),원고 일부 승소,피고가 원고 소유 차량을 과실로 충돌하여 발생한 손해에 대한 배상 청구 사건,피고의 과실이 70% 인정되며 원고의 기여과실 30%를 공제한 나머지 금액을 배상하여야 한다,교통사고,손해배상,과실상계,불법행위
2023나20045,서울고등법원,2023-06-22,민사,건물명도,원고 승소,임차인이 임대차 계약 종료 후에도 건물을 점유하고 있어 명도를 구하는 사건,임대차 기간 만료 후 임차인이 계속 점유함은 불법점유에 해당하므로 명도 의무가 있다,임대차,건물명도,불법점유,계약종료
2022가단55123,인천지방법원,2022-11-08,민사,대여금,원고 승소,원고가 피고에게 금전을 대여하였음에도 피고가 이를 변제하지 않아 반환을 구하는 사건,금전 소비대차 계약이 성립하였고 변제 사실이 인정되지 않으므로 피고는 원금 및 이자를 지급하여야 한다,대여금,금전소비대차,변제,이자
2023고합321,서울중앙지방법원,2023-09-05,형사,사기,유죄,피고인이 허위 사실을 고지하여 피해자로부터 금원을 편취한 사건,기망행위와 처분행위 사이의 인과관계가 인정되고 편취의 고의가 명백하므로 사기죄가 성립한다,사기,기망행위,편취,형사
2023가합30012,부산지방법원,2023-04-19,민사,임금청구,원고 승소,사용자가 근로자에게 약정된 임금을 지급하지 않아 이를 청구하는 사건,근로계약서에 따른 임금 지급 의무가 있으며 사용자의 지급 거절은 정당한 이유가 없다,임금,근로계약,체불임금,근로기준법
2022나67890,대전고등법원,2022-08-30,민사,이혼 및 위자료,원고 일부 승소,배우자의 부정행위를 이유로 이혼 및 위자료 청구를 한 사건,부정행위가 인정되어 이혼 사유에 해당하며 정신적 고통에 대한 위자료를 지급하여야 한다,이혼,위자료,부정행위,혼인파탄
2023고단4521,수원지방법원,2023-07-14,형사,폭행,유죄,피고인이 피해자를 폭행하여 상해를 입힌 사건,폭행의 고의가 인정되고 피해자의 상해 결과가 인정되므로 상해죄가 성립한다,폭행,상해,형사책임,피해자
2022가합78900,서울동부지방법원,2022-12-21,민사,매매대금 반환,원고 승소,매매 계약이 착오를 이유로 취소되어 매매대금의 반환을 구하는 사건,중요한 부분의 착오가 인정되어 계약취소가 유효하므로 피고는 수령한 매매대금을 반환하여야 한다,매매,착오,계약취소,부당이득
2023가합11234,서울남부지방법원,2023-01-25,민사,손해배상(의료),원고 일부 승소,의사의 수술 과실로 인한 신체 손해에 대해 배상을 구하는 사건,의료진의 주의의무 위반이 인정되고 손해와의 인과관계도 인정되나 환자의 기저질환이 기여하였으므로 일부만 인정된다,의료사고,주의의무,의료과실,인과관계
2023나34560,광주고등법원,2023-05-11,민사,채무부존재확인,원고 승소,원고가 피고에 대한 채무가 존재하지 않음을 확인하는 소를 제기한 사건,소멸시효 완성이 인정되어 채무가 소멸하였으므로 채무부존재가 확인된다,채무부존재,소멸시효,확인소송
